Key,Value
number-of-halls,عدد القاعات
number-of-exams,عدد الامتحانات
number-of-students,عدد المسجلين
amount,المبلغ
admin-reports,تقارير النظام
user-activity,نشاط المستخدم
user-activity-report-description,يعرض هذا التقرير نشاط المستخدم في النظام
user,المستخدم
action,الإجراء
system-performance,أداء النظام
system-performance-report,تقرير أداء النظام
system-performance-report-description,يظهر هذا التقرير أداء النظام
exam-attendance,حضور الامتحان
exam-attendance-report-description,يظهر هذا التقرير حضور الامتحان
exam-attendance-report,تقرير حضور الامتحان
exam-manager-reports,تقارير مدير الامتحان
exam-schedule-conflict,تعارض جدول الامتحانات
exam-schedule-conflict-report,تقرير تعارض جدول الامتحانات
exam-schedule-conflict-report-description,يظهر هذا التقرير تعارض جدول الامتحانات
student-registration,تسجيل المسجلين
student-registration-report,تقرير تسجيل المسجلين
student-registration-report-description,يظهر هذا التقرير تسجيل المسجلين
question-bank-admin-reports,تقارير إدارة بنك الأسئلة
question-approval-rejection,موافقة/رفض الأسئلة
question-approval-rejection-report,تقرير موافقة/رفض الأسئلة
question-approval-rejection-report-description,يظهر هذا التقرير موافقة/رفض الأسئلة
question-usage-performance,أداء استخدام الأسئلة
question-usage-performance-report,تقرير أداء استخدام الأسئلة
question-usage-performance-report-description,يظهر هذا التقرير أداء استخدام الأسئلة
evaluator-reports,تقارير المقيم
evaluator-report-description,يظهر هذا التقرير المقيم
pending-grading,التصحيح المعلق
pending-grading-report,تقرير التصحيح المعلق
pending-grading-report-description,يظهر هذا التقرير التصحيح المعلق
student-reports,تقارير المسجلين
exam-performance,أداء الامتحان
exam_performance_report,تقرير أداء الامتحان
exam-performance-report-description,يظهر هذا التقرير أداء الامتحان
most-difficult-subjects,أصعب المواد
most_difficult_subjects_report,تقرير أصعب المواد
most-difficult-subjects-report-description,يظهر هذا التقرير أصعب المواد
home-page,الصفحة الرئيسية
exam-center-home,الصفحة الرئيسية لمركز الامتحان
exam-center-id,رقم مركز الامتحان
active-exams,الامتحانات النشطة
students-present,المسجلين الحاضرون
total-capacity,السعة الإجمالية
recent-activity,النشاط الأخير
scheduled-exams-content,عرض وإدارة الامتحانات المجدولة لهذا المركز
reports-content,الوصول إلى تقارير وتحليلات مركز الامتحان
questions-bank,بنك الأسئلة
questions,الأسئلة
blueprints,نماذج الاسئلة
exams,الامتحانات
scheduled-exams,الامتحانات المجدولة
topics,الموضوعات
subjects,المواد الدراسية
delete-confirmation,هل أنت متأكد أنك تريد حذف هذا العنصر؟
delete,حذف
cancel,إلغاء
add,إضافة
logout,تسجيل الخروج
ems,نظام إدارة الامتحانات
moheser,وزارة التعليم العالي والبحث العلمي
question-bank-schedule,ادارة بنوك الأسئلة
to-create-groups-of-questions,لإنشاء مجموعات من الأسئلة
create-question-bank,إنشاء بنك أسئلة
search,بحث
filter,تصفية
add-questions,إضافة سؤال
subject,المادة
actions,الإجراءات
type,النوع
title,العنوان
difficulty,الصعوبة
knowledge,المحاور
creator,معد اسئلة
creation-date,تاريخ الإنشاء
auditor,المدقق
audit-date,تاريخ التدقيق
used-times,عدد مرات الاستخدام
audit-status,حالة التدقيق
easy,سهل
medium,متوسط
hard,صعب
remember,تذكر
understand,فهم
apply,تطبيق
analyze,تحليل
evaluate,تقييم
create,إنشاء
multiple-choice,اختيار من متعدد
fill-the-blank,املأ الفراغ
dropdown,قائمة منسدلة
article,مقالة
true-or-false,صح أو خطأ
radio,اختيار واحد
matching,مطابقة
reorder,إعادة ترتيب
questions-page,صفحة الأسئلة
subject-0,المادة
topics-0,الموضوعات
actions-0,الإجراءات
select-subject,اختر المادة
select-topics,اختر الموضوعات
save-change,حفظ التغييرات
questions-editor,محرر الأسئلة
to-add-or-edit-questions,لإضافة أو تعديل الأسئلة
exam-question-form,نموذج اسئلة الامتحان
it-is-a-special-form-to-enter-the-exam-questions-to-be-summoned-in-the-exam-department,هو نموذج خاص لإدخال أسئلة الامتحان ليتم استدعاؤها في قسم الامتحانات
save-changes,حفظ التغييرات
select-a-question-type,اختر نوع السؤال
select-a-difficulty,اختر مستوى الصعوبة
select-a-knowledge,اختر مستوى المحاور
question-title,السؤال
answer,الإجابة
true,صحيح
false,خطأ
select-the-correct-answer,اختر الإجابة الصحيحة
add-more-answers,إضافة المزيد من الإجابات
question-answers,إجابات السؤال:
question,السؤال
create-and-manage-blueprints,إنشاء وإدارة نماذج
create-blueprint,إنشاء نموذج اسئلة
schedule,جدولة
create-blueprints,إنشاء نماذج الاسئلة
wirting-title,ادخل العنوان
wirting-grade,درجة الكتابة
success-grade,الدرجة القصوى
add-subject,إضافة مادة
display-result,عرض النتيجة
move-between-questions,التنقل بين الأسئلة
randomize-answers,عشوائية الاسئلة
randomize-choices,عشوائية الخيارات
name,الاسم
grade,الدرجة
number-of-questions,عدد الأسئلة
question-type,نوع السؤال
degree-type,نوع الدرجة
randomize-questions,عشوائية الأسئلة
exams-page,صفحة الامتحانات
create-and-manage-exams,إنشاء وإدارة الامتحانات
create-exams,إنشاء امتحان
show,عرض
enter-title,أدخل العنوان
start-date,تاريخ البدء
enter-start-date,أدخل تاريخ البدء
start-time,وقت البدء
enter-start-time,أدخل وقت البدء
end-date,تاريخ الانتهاء
enter-end-date,أدخل تاريخ الانتهاء
end-time,وقت الانتهاء
enter-end-time,أدخل وقت الانتهاء
quarterly,فصلي
semi-annual,نصف سنوي
final,امتحان تقويمي
postgraduate,دراسات عليا
evaulation-proficiency,الاختبار الوطني الموحد  ( امتحان الكفاءة )
mock,تجريبي
select-exam-type,اختر نوع الامتحان
exam-type,نوع الامتحان
english,اللغة الانجليزية
arabic,اللغة العربية
computer,الحاسوب
price,السعر
retry-price,سعر الإعادة
proficiency-exam-group,مجموعة امتحان الكفاءة
proficiency-exam-group-required,مجموعة امتحان الكفاءة مطلوبة
duration-in-minutes,المدة (بالدقائق)
enter-duration,أدخل المدة
enterance-time-allowed-in-minutes,الوقت المسموح به للدخول (بالدقائق)
enter-enterance-time-allowed,أدخل الوقت المسموح به للدخول
blueprint,نموذج الاسئلة
start-end,البداية - النهاية
duration,المدة
attendance,الحضور
pass,نجاح
fail,رسوب
this-is-the-home-page,هذه هي الصفحة الرئيسية
this-is-the-scheduled-exams-page,هذه هي صفحة الامتحانات المجدولة
create-and-manage-subjects,إنشاء وإدارة المواد الدراسية
add-new-subject,إضافة مادة جديدة
create-new-subject,إنشاء مادة جديدة
subject-name,اسم المادة
topic-name,اسم الموضوع
create-topic,إنشاء موضوع
create-new-topic,إنشاء موضوع جديد
create-and-manage-topics,إنشاء وإدارة الموضوعات
add-new-topic,انشاء موضوع جديد
enter-the-text,أدخل النص
assigns,تعيين 
edit-questions,تحرير الاسئلة
edit,تعديل
add-more,اضافة المزيد
select-creator,تحديد منشئ الاسئلة
select-auditors,تحديد المدققين
Percentage,نسبة مئوية
Points,درجات
Letters,حروف
Yes,نعم
No,لا
select-the-options-of-the-exam,حدد خيارات الامتحان
more-settings,المزيد من الإعدادات
sort,نوع
eveluator,المصحح
view,التفاصيل
no-data-found,لا توجد بيانات متاحة
no-data-found-subtitle,ليس هناك بيانات ليتم عرضها
exam-view,رؤية الامتحان
to-view-exam-like-student,لعرض الامتحان مثل الطالب
exam-center,مركز الامتحان
exam-centers,مراكز الامتحان
deactivate-exam-center,إلغاء تفعيل مركز الامتحان
deactivation-date,تاريخ إلغاء التفعيل
deactivation-reason,سبب إلغاء التفعيل
deactivation-reason-placeholder,يرجى تقديم سبب مفصل لإلغاء تفعيل مركز الامتحان هذا...
deactivation-warning-title,ايقاف المركز الامتحاني واعطاء محاولة مجانية
deactivation-warning-message,إلغاء تفعيل {centerName} سيؤدي إلى إلغاء جميع حجوزات الطلاب النشطة للتاريخ المحدد ومنح إعادة امتحان مجانية تلقائياً.
confirm-deactivation,تأكيد إلغاء التفعيل
affected-tickets,التذاكر المتأثرة
students-affected,الطلاب المتأثرون
free-take-points-granted,نقاط الإعادة المجانية الممنوحة
what-happens-when-deactivated,ماذا يحدث عند إلغاء تفعيل مركز الامتحان؟
deactivation-effect-1,سيتم إلغاء جميع تذاكر الطلاب لتاريخ إلغاء التفعيل تلقائياً
deactivation-effect-2,سيحصل الطلاب المتأثرون على نقاط إعادة امتحان مجانية لإعادة جدولة امتحاناتهم
deactivation-effect-3,لن يكون مركز الامتحان متاحاً للحجوزات الجديدة في تاريخ إلغاء التفعيل
prev,السابق
next,التالي
create-examination-center,انشاء مركز امتحاني جديد
governorate,المحافظة
hall,القاعات
capacity,السعة
examination-centers,المراكز الامتحانية
is-active,فعال
security-system,نظام الامن
create-and-manage-examination-centers,إنشاء وإدارة مراكز الامتحان
active,فعال
inactive,غير فعال
Pending,قيد الانتظار
Rejected,مرفوض
Approved,موافقة
Approve,موافقة
Reject,رفض
rejection-reason,سبب الرفض
rejection-heading,هل أنت متأكد من رفض هذا الموضوع؟
rejection-description,إذا كانت نعم ، يرجى إدراج سبب الرفض
reject,رفض
grades,الدرجات
todays-exams,امتحانات اليوم
expired-exams,امتحانات منتهية الصلاحية
completed-exams,الامتحانات المكتملة
COMPLETED,مكتمل
join-now,انضم الآن
register,يسجل
expired,منتهي الصلاحية
pending,قيد التقدم
completed,مكتمل
you-are-going-to-start-the,سوف تبدأ امتحان الـ 
are-you-sure,، هل أنت متأكد؟
enter-the-code-to-attend-the-exam-with-these-details,أدخل الرمز لحضور الامتحان بهذه التفاصيل
start-the-exam,ابدأ الامتحان
enter-the-code,أدخل الرمز
welcome-to-the,اهلا بك في امتحان الـ 
you-have-60-minutes-to-complete-the-exam-good-luck,لديك 60 دقيقة لإكمال الامتحان. 
حظ سعيد!
start-the-exam-to-show-the-questions,ابدأ الامتحان لإظهار الأسئلة
finish-the-exam,إنهاء الامتحان
exam-submitted-succesfully,تم تقديم الامتحان بشكل ناجح
thank-you-for-completing-the,شكراً لأكمالك امتحان الـ 
back,خلف
next-question,السؤال التالي
of,ل
the-exam-number,رقم الامتحان
hoda-mohamed-ahmed,هدى محمد أحمد
exam,الامتحان
department,القسم
result,النتيجة
evaluations,تصحيح الامتحانات
to-evaluate-questions,لتصحيح الاسئلة وامتحانات الطلبة
student-name,اسم الطالب
university,الجامعة
date,التاريخ
status,الحالة
no-of-questions,عدد الأسئلة
not-started,لم يبدأ
in-progress,جاري الامتحان
out-of,من 
study-year,السنة الدراسية
time,الوقت
employees,الموظفين
higher_education_and_scientific_research_ministry,وزارة التعليم العالي والبحث العلمي
ministry_info,كل ما يتعلق بالوزارة
baghdad_university,جامعة بغداد
choose_college,اختر الكلية
college_of_engineering,كلية الهندسة
college_info,كل ما يتعلق بالكلية
department_of_electrical_engineering,قسم الهندسة الكهربائية
department_info,كل ما يتعلق بالقسم
department_of_civil_engineering,قسم الهندسة المدنية
mustansiriyah_university,الجامعة المستنصرية
college_of_medicine,كلية الطب
department_of_human_medicine,قسم الطب البشري
card-view,طريقة العرض: مفصلة
table-view,طريقة العرض: جدول
question-count,عدد الاسئلة
open,فتح وتعديل الاسئلة
view-auditor,المدققين
auditors-group,مجموعة المدققين
view-creator,رؤية معدي الاسئلة
question-bank,بنك الاسئلة
select-organization,حدد الهيكيلة
question-banks,بنك الاسئلة
security-name,اسم المستخدم
password,كلمة المرور
url,عنوان URL
college-name,الكلية
departments,الاقسام
students,المسجلين
student-page,صفحة المسجلين
manage-students,إدارة المسجلين في الامتحان
student-in-the-exam,المسجلين المضافين في الامتحان
display-the-students-who-are-taking-the-exam,عرض المسجلين الذين يأخذون الامتحان
university-id-number,الرقم الجامعي
email,البريد الالكتروني
gender,الجنس
stage,المرحلة
phone-number,رقم الهاتف
male,ذكر
female,انثى
not-taken,لم يمتحن
Failed,راسب
passed,ناجح
organizations,الاقسام
select-organizational-structure,حدد الاقسام لإضافتها
groups,المجموعات
student-reports-description,يظهر هذا التقرير المسجلين
evaluation-speed-trends,أداء التقييم
letter,الحرف
id,المعرف
full-name,اسم المجال
exam-name,اسم الامتحان
national-id,رقم الهوية
internal,داخلي
external,خارجي
average-score,المعدل العام
failure-rate,معدل الرسوب
create-and-manage-groups,إنشاء وإدارة المجموعات
create-group,انشاء مجموعة
grade-per-question,الدرجة / السؤال
add-settings,أضف المزيد من الإعدادات
bluebrint-settings-for-question-bank,اعدادات المخطط لبنك الاسئلة 
maximum-grade,الدرجة الكلية
choice-at-least-one-question-bank-to-add-settings-for-the-blueprint,اختيار بنك أسئلة واحد على الأقل لإضافة إعدادات للمخطط
real-time-exam-monitoring,مراقبة الامتحانات الحقيقة
real-time-exam-monitoring-description,يظهر هذا التقرير مراقبة الامتحانات المباشر
student-online-status,حالة المسجلين المتصلين
logged-in,متصل
disconnected,متصل
exam-progress-overview,مراقبة تقدم الامتحانات
live-exam-count,عدد الامتحانات الحقيقية
total-exam,اجمالي الامتحانات
user-activity-over-time,نشاط المستخدم بمرور الوقت
server-load-over-time,حمل الخادم بمرور الوقت
exam-attendance-breakdown,تحليل حضور الامتحان
Absentees,المتغيبون
total-students,إجمالي المسجلين
created-exam,تم إنشاء الامتحان
edited-question,تم تعديل السؤال
reviewed-answer,تمت مراجعة الإجابة
cheating-fraud-detection-logs,سجلات الغش
cheating-fraud-detection-logs-description,يظهر هذا التقرير سجلات الغش
fraud-detection-trend,احصائية الغش
detected-cheating-cases,حالات الغش المكتشفة
multiple-faces-detected,تم الكشف عن أكثر من وجه
tab-switching,تبديل التبويب
student-id,رقم الطالب
violation-type,نوع الغش
time-stamp,الوقت
flagged,محذوف
under-review,قيد التدقيق
audit-questions,الاسئلة
malwmat-aldkhwl-llkamrat,معلومات الدخول للكامرات
replace-question,استبدال السؤال
the-question-will-be-replaced-with-a-new-one-for-all-students,سيتم استبدال السؤال  بسؤال جديد لجميع المسجلين
you-are-going-to-replace-the-question,سوف يتم استبدال
question-performance-reports,تقارير أداء الاسئلة
question-performance-reports-description,يظهر هذا التقرير أداء الاسئلة
question-success-rate,نسبة أداء الاسئلة
most-difficult-questions,أصعب الاسئلة
question-bank-reports,تقارير بنك الأسئلة
question-performance-analysis,تحليل أداء الأسئلة
total-questions,إجمالي الأسئلة
approved-questions,الأسئلة المعتمدة
rejected-questions,الأسئلة المرفوضة
view-creators,عرض معدي الاسئلة
questions-creator,منشئ الأسئلة
correct-responses,الإجابات الصحيحة
incorrect-responses,الإجابات الخاطئة
exam-center-utilization-reports,تقرير استخدام المراكز الامتحانية
exam-center-utilization-reports-description,يظهر هذا التقرير استخدام المراكز الامتحانية
